timestamp,id,title,entry_full,entry,free_space
2025-07-23 22:54:55,35,Mayfair Street,"27 Mayfair Street, West Perth","27 Mayfair Street, West Perth",0
2025-07-23 22:54:55,36,The Garage,"347 Wellington Street, Perth","347 Wellington Street, Perth",41
2025-07-23 22:54:55,37,Heirisson Island,Causeway,Causeway,18
2025-07-23 22:54:55,38,Council House,"27 St Georges Terrace, Perth","27 St Georges Terrace, Perth",68
2025-07-23 22:54:55,39,Regal Place,"81-95 Regal Place, East Perth","81-95 Regal Place, East Perth",287
2025-07-23 22:54:55,40,Convention Centre,"21 Mounts Bay Road and Mitchell Freeway, Perth",21 Mounts Bay Road,1228
2025-07-23 22:54:55,40,Convention Centre,"21 Mounts Bay Road and Mitchell Freeway, Perth","Mitchell Freeway, Perth",1228
2025-07-23 22:54:55,41,Citiplace,"1 Roe Street, Perth","1 Roe Street, Perth",412
2025-07-23 22:54:55,42,Elder Street,"490 Murray Street  and Elder Street, Perth",490 Murray Street ,859
2025-07-23 22:54:55,42,Elder Street,"490 Murray Street  and Elder Street, Perth","Elder Street, Perth",859
2025-07-23 22:54:55,45,Saunders Street,"9 Saunders Street, East Perth","9 Saunders Street, East Perth",57
2025-07-23 22:54:55,46,Victoria Gardens,"10 Royal Street, East Perth","10 Royal Street, East Perth",14
2025-07-23 22:54:55,47,Wellington Street,"972-980 Wellington Street, West Perth","972-980 Wellington Street, West Perth",68
2025-07-23 22:54:55,48,Aberdeen Street,"121 Aberdeen Street and 104 Francis Street, Northbridge",121 Aberdeen Street,84
2025-07-23 22:54:55,48,Aberdeen Street,"121 Aberdeen Street and 104 Francis Street, Northbridge","104 Francis Street, Northbridge",84
2025-07-23 22:54:55,49,Coolgardie Street,"9 Coolgardie Street, West Perth","9 Coolgardie Street, West Perth",41
2025-07-23 22:54:55,50,Fire Station,"1 Murray Street and Hay Street, Perth",1 Murray Street,159
2025-07-23 22:54:55,50,Fire Station,"1 Murray Street and Hay Street, Perth","Hay Street, Perth",159
2025-07-23 22:54:55,51,Hay Street East,"262 Hay Street, East Perth","262 Hay Street, East Perth",25
2025-07-23 22:54:55,53,J.H. Abrahams Reserve,"Hackett Drive, Crawley","Hackett Drive, Crawley",78
2025-07-23 22:54:55,54,James Street,"Corner James Street and Melbourne Street, Northbridge",Corner James Street,54
2025-07-23 22:54:55,54,James Street,"Corner James Street and Melbourne Street, Northbridge","Melbourne Street, Northbridge",54
2025-07-23 22:54:55,55,John Oldham Park,"Mounts Bay Road, Perth","Mounts Bay Road, Perth",23
2025-07-23 22:54:55,56,Mardalup Park,"5-7 Brown Street, East Perth","5-7 Brown Street, East Perth",11
2025-07-23 22:54:55,57,Mounts Bay Road,"129 Mounts Bay Road, West Perth","129 Mounts Bay Road, West Perth",10
2025-07-23 22:54:55,58,Newcastle Street,"47 Newcastle Street and  Aberdeen Street, Northbridge",47 Newcastle Street,136
2025-07-23 22:54:55,58,Newcastle Street,"47 Newcastle Street and  Aberdeen Street, Northbridge"," Aberdeen Street, Northbridge",136
2025-07-23 22:54:55,60,Plain Street,"2 Plain Street, East Perth","2 Plain Street, East Perth",155
2025-07-23 22:54:55,61,Point Fraser,"1 Riverside Drive, East Perth","1 Riverside Drive, East Perth",257
2025-07-23 22:54:55,62,Queens Gardens,"60 Nelson Crescent, East Perth and Horatio Street, East Perth","60 Nelson Crescent, East Perth",367
2025-07-23 22:54:55,62,Queens Gardens,"60 Nelson Crescent, East Perth and Horatio Street, East Perth","Horatio Street, East Perth",367
2025-07-23 22:54:55,63,Royal Street,"158 Royal Street, East Perth","158 Royal Street, East Perth",735
2025-07-23 22:54:55,64,Cultural Centre,"2 Roe Street, Northbridge","2 Roe Street, Northbridge",268
2025-07-23 22:54:55,65,Terrace Road,"165 Terrace Road, Perth","165 Terrace Road, Perth",587
2025-07-23 22:54:55,66,Goderich Street,"133 Goderich Street, East Perth","133 Goderich Street, East Perth",159
2025-07-23 22:54:55,67,His Majesty's,"377 Murray Street, Perth","377 Murray Street, Perth",512
2025-07-23 22:54:55,68,Roe Street,"68 Roe Street, Northbridge","68 Roe Street, Northbridge",296
2025-07-23 22:54:55,69,State Library,"15 Francis Street, Northbridge","15 Francis Street, Northbridge",492
2025-07-23 22:54:55,70,Pier Street,"87-89 Pier Street, Perth","87-89 Pier Street, Perth",577
2025-07-23 22:55:12,35,Mayfair Street,"27 Mayfair Street, West Perth","27 Mayfair Street, West Perth",0
2025-07-23 22:55:12,36,The Garage,"347 Wellington Street, Perth","347 Wellington Street, Perth",41
2025-07-23 22:55:12,37,Heirisson Island,Causeway,Causeway,18
2025-07-23 22:55:12,38,Council House,"27 St Georges Terrace, Perth","27 St Georges Terrace, Perth",68
2025-07-23 22:55:12,39,Regal Place,"81-95 Regal Place, East Perth","81-95 Regal Place, East Perth",287
2025-07-23 22:55:12,40,Convention Centre,"21 Mounts Bay Road and Mitchell Freeway, Perth",21 Mounts Bay Road,1228
2025-07-23 22:55:12,40,Convention Centre,"21 Mounts Bay Road and Mitchell Freeway, Perth","Mitchell Freeway, Perth",1228
2025-07-23 22:55:12,41,Citiplace,"1 Roe Street, Perth","1 Roe Street, Perth",412
2025-07-23 22:55:12,42,Elder Street,"490 Murray Street  and Elder Street, Perth",490 Murray Street ,859
2025-07-23 22:55:12,42,Elder Street,"490 Murray Street  and Elder Street, Perth","Elder Street, Perth",859
2025-07-23 22:55:12,45,Saunders Street,"9 Saunders Street, East Perth","9 Saunders Street, East Perth",57
2025-07-23 22:55:12,46,Victoria Gardens,"10 Royal Street, East Perth","10 Royal Street, East Perth",14
2025-07-23 22:55:12,47,Wellington Street,"972-980 Wellington Street, West Perth","972-980 Wellington Street, West Perth",68
2025-07-23 22:55:12,48,Aberdeen Street,"121 Aberdeen Street and 104 Francis Street, Northbridge",121 Aberdeen Street,84
2025-07-23 22:55:12,48,Aberdeen Street,"121 Aberdeen Street and 104 Francis Street, Northbridge","104 Francis Street, Northbridge",84
2025-07-23 22:55:12,49,Coolgardie Street,"9 Coolgardie Street, West Perth","9 Coolgardie Street, West Perth",41
2025-07-23 22:55:12,50,Fire Station,"1 Murray Street and Hay Street, Perth",1 Murray Street,159
2025-07-23 22:55:12,50,Fire Station,"1 Murray Street and Hay Street, Perth","Hay Street, Perth",159
2025-07-23 22:55:12,51,Hay Street East,"262 Hay Street, East Perth","262 Hay Street, East Perth",25
2025-07-23 22:55:12,53,J.H. Abrahams Reserve,"Hackett Drive, Crawley","Hackett Drive, Crawley",78
2025-07-23 22:55:12,54,James Street,"Corner James Street and Melbourne Street, Northbridge",Corner James Street,54
2025-07-23 22:55:12,54,James Street,"Corner James Street and Melbourne Street, Northbridge","Melbourne Street, Northbridge",54
2025-07-23 22:55:12,55,John Oldham Park,"Mounts Bay Road, Perth","Mounts Bay Road, Perth",23
2025-07-23 22:55:12,56,Mardalup Park,"5-7 Brown Street, East Perth","5-7 Brown Street, East Perth",11
2025-07-23 22:55:12,57,Mounts Bay Road,"129 Mounts Bay Road, West Perth","129 Mounts Bay Road, West Perth",10
2025-07-23 22:55:12,58,Newcastle Street,"47 Newcastle Street and  Aberdeen Street, Northbridge",47 Newcastle Street,136
2025-07-23 22:55:12,58,Newcastle Street,"47 Newcastle Street and  Aberdeen Street, Northbridge"," Aberdeen Street, Northbridge",136
2025-07-23 22:55:12,60,Plain Street,"2 Plain Street, East Perth","2 Plain Street, East Perth",155
2025-07-23 22:55:12,61,Point Fraser,"1 Riverside Drive, East Perth","1 Riverside Drive, East Perth",257
2025-07-23 22:55:12,62,Queens Gardens,"60 Nelson Crescent, East Perth and Horatio Street, East Perth","60 Nelson Crescent, East Perth",367
2025-07-23 22:55:12,62,Queens Gardens,"60 Nelson Crescent, East Perth and Horatio Street, East Perth","Horatio Street, East Perth",367
2025-07-23 22:55:12,63,Royal Street,"158 Royal Street, East Perth","158 Royal Street, East Perth",735
2025-07-23 22:55:12,64,Cultural Centre,"2 Roe Street, Northbridge","2 Roe Street, Northbridge",268
